,BA,SD
0,1.1495378944,52.169315
1,3.4583064576,55.092228
2,2.3781781504,53.53327
3,1.851908096,54.75895
4,1.2205858816,58.106857
5,1.4165592064,47.288326
6,3.1967832064,53.016636
7,1.02302464,52.24656
8,2.6318915584,50.184612
9,1.73435392,54.770077
10,1.1445622784,46.4801
11,1.750450176,52.10784
12,4.3371753472,53.163258
13,1.4763608064,54.786674
14,1.5220816896,52.31216
15,2.4106897408,46.997406
16,2.0209963008,53.93125
17,2.2843160576,55.4661
18,3.5538522112,49.956738
19,5.1002290176,53.008495
20,3.7346525184,61.645008
21,3.7671079936,53.357113
22,3.1739723776,58.57095
23,1.4541357056,59.051445
24,1.2880371712,57.62735
25,1.3426331648,59.853615
26,2.9957341184,62.51585
27,3.2644481024,61.70192
28,2.1884700672,59.93031
29,5.907308544,60.67958
30,4.8077402112,60.677494
31,5.3045243904,57.83458
32,2.756325376,56.979824
33,3.8581252096,61.436287
34,3.0987880448,57.772003
35,3.8858407936,50.30591
